Municipio,Departamento,Aval Partidos 2011
Mercaderes,Cauca,U
Santander de Quilichao,Cauca,U
Chimichagua,Cesar,ASI
Astrea,Cesar,CR
Aguachica,Cesar,CR
Gamarra,Cesar,CR
González,Cesar,CR
La Paz,Cesar,CR
Bosconia,Cesar,CR
Chiriguaná,Cesar,CR
Tamalameque,Cesar,CR
Valledupar,Cesar,Firmas
San Alberto,Cesar,PC
Río De Oro,Cesar,PC
Pueblo Bello,Cesar,PC
San Martín,Cesar,PIN
La Jagua Ibirico,Cesar,PIN
San Diego,Cesar,PL
Pailitas,Cesar,PL
Manaure Balcón Del Cesar,Cesar,PL
El Copey,Cesar,PL
Pelaya,Cesar,PL
El Paso,Cesar,U
Agustín Codazzi,Cesar,U
Curumaní,Cesar,U
La Gloria,Cesar,U
Becerril,Cesar,U
Riosucio,Chocó,Afrovides
El litoral del san juan,Chocó,ASI
Alto Baudó (pie de pato),Chocó,AV
Atrato,Chocó,CR
Quibdo,Chocó,CR
Unguia,Chocó,CR
Certegui,Chocó,CR
Lloro,Chocó,CR
Rio iro,Chocó,CR
Jurado,Chocó,CR
Medio san juan,Chocó,MIO
San jose del palmar,Chocó,PC
Sipi,Chocó,PC
Acandi,Chocó,PL
Bahia solano (mutis),Chocó,PL
Carmen del darien,Chocó,PL
Condoto,Chocó,PL
Medio baudo (boca de pepe),Chocó,PL
Novita,Chocó,PL
Bagado,Chocó,PL
Istmina,Chocó,PL
Medio atrato,Chocó,PL
El canton de san pablo,Chocó,PL
El carmen,Chocó,PL
Rio quito,Chocó,PL
Bajo baudo (pizarro),Chocó,U
Unión panamericana,Chocó,U
Bojaya (bellavista),Chocó,U
Nuqui,Chocó,U
Tado,Chocó,U
Cienaga De Oro,Córdoba,Aico
Puerto Libertador,Córdoba,ASI
Chima,Córdoba,ASI
San josé de Uré,Córdoba,ASI
Sahagún,Córdoba,Firmas
Purísima,Córdoba,MIO
Tierralta,Córdoba,MIO
San Carlos,Córdoba,PC
Planeta Rica,Córdoba,PC
Montería,Córdoba,PC
Chinú,Córdoba,PL
Los Córdobas,Córdoba,PL
La Apartada,Córdoba,PL
Puerto Escondido,Córdoba,PL
Ayapel,Córdoba,PL
Canalete,Córdoba,PL
Cotorra,Córdoba,PL
San Antero,Córdoba,PL
San Andrés Sotavento,Córdoba,U
Moñitos,Córdoba,U
Cereté,Córdoba,U
Buenavista,Córdoba,U
Tuchín,Córdoba,U
Montelíbano,Córdoba,U
Pueblo Nuevo,Córdoba,U
Valencia,Córdoba,U
Lorica,Córdoba,U
Momil,Córdoba,U
San Bernardo Viento,Córdoba,U
San Pelayo,Córdoba,U
Chia,Cundinamarca,Aico
Bituima,Cundinamarca,ASI
Girardot,Cundinamarca,ASI
Arbelaez,Cundinamarca,ASI
Villapinzón,Cundinamarca,ASI
Gachalá,Cundinamarca,ASI
Alban,Cundinamarca,AV
Choachí,Cundinamarca,AV
Une,Cundinamarca,AV
Ubalá,Cundinamarca,AV
El Rosal,Cundinamarca,AV
Sopo,Cundinamarca,AV
Guachetá,Cundinamarca,CR
Caqueza,Cundinamarca,CR
La Palma,Cundinamarca,CR
Sutatausa,Cundinamarca,CR
Beltrán,Cundinamarca,CR
San Cayetano,Cundinamarca,CR
Tena,Cundinamarca,CR
Caparrapí,Cundinamarca,CR
Fúquene,Cundinamarca,CR
La Mesa,Cundinamarca,CR
Paratebueno,Cundinamarca,CR
Guasca,Cundinamarca,CR
Gutiérrez,Cundinamarca,CR
Lenguazaque,Cundinamarca,CR
Nocaima,Cundinamarca,CR
Tabio,Cundinamarca,CR
Apulo,Cundinamarca,CR
Zipacón,Cundinamarca,CR
Pulí,Cundinamarca,CR
San Bernardo,Cundinamarca,CR
Tausa,Cundinamarca,CR
Cota,Cundinamarca,Firmas
Cogua,Cundinamarca,Firmas
Funza,Cundinamarca,Firmas
Gachancipá,Cundinamarca,Firmas
Nemocón,Cundinamarca,Firmas
