Municipio,Departamento,Primer aval 2011,Primer aval 2015
Carmen de Carupa,Cundinamarca,U,CD
Medina,Cundinamarca,U,CD
Tenjo,Cundinamarca,U,CD
Tocancipá,Cundinamarca,U,CD
Chaguaní,Cundinamarca,U,CR
El Peñón,Cundinamarca,U,CR
Guatavita,Cundinamarca,U,CR
La Peña,Cundinamarca,U,CR
Pacho,Cundinamarca,U,CR
Subachoque,Cundinamarca,U,CR
Gacheta,Cundinamarca,U,PC
Guayabal de Siquima,Cundinamarca,U,PC
Susa,Cundinamarca,U,PC
Vergara,Cundinamarca,U,PC
Villagomez,Cundinamarca,U,PC
Villeta,Cundinamarca,U,PC
Suesca,Cundinamarca,U,PL
Agua de Dios,Cundinamarca,U,PL
Fusagasuga,Cundinamarca,U,PL
Guaduas,Cundinamarca,U,PL
La Vega,Cundinamarca,U,PL
Soacha,Cundinamarca,U,PL
Chipaque,Cundinamarca,U,U
Fómeque,Cundinamarca,U,U
Jerusalén,Cundinamarca,U,U
Manta,Cundinamarca,U,U
Mosquera,Cundinamarca,U,U
Nimaima,Cundinamarca,U,U
Paime,Cundinamarca,U,U
Quebradanegra,Cundinamarca,U,U
Sesquilé,Cundinamarca,U,U
Tibacuy,Cundinamarca,U,U
Yacopí,Cundinamarca,U,U
Inírida,Guainía,CR,PL
San José del Guaviare,Guaviare,AV,PL
Calamar,Guaviare,PC,U
Miraflores,Guaviare,PL,PL
El Retorno,Guaviare,U,U
Yaguara,Huila,ASI,ASI
Baraya,Huila,ASI,CR
Campoalegre,Huila,ASI,CR
San Agustín,Huila,ASI,U
Iquira,Huila,AV,PC
Palermo,Huila,AV,PC
Pital,Huila,AV,PL
Villavieja,Huila,CR,U
Oporapa,Huila,MIO,CR
Santa Maria,Huila,MIO,PC
Garzón,Huila,PC,AV
Elias,Huila,PC,CR
La Plata,Huila,PC,CR
Paicol,Huila,PC,Firmas
Acevedo,Huila,PC,PC
Nataga,Huila,PC,PC
Tello,Huila,PL,PL
Teruel,Huila,PC,AV
Altamira,Huila,PC,PL
Palestina,Huila,PC,PL
Tesalia,Huila,PC,PL
Pitalito,Huila,PC,U
Algeciras,Huila,PL,CR
Gigante,Huila,PL,CR
