"code","municipio","departamento","TMIN_CLAS_COBRE_A_1_1","conf_uso_2"
76243,"El Águila","Valle del Cauca",0,-0.326394
76246,"El Cairo","Valle del Cauca",0,-0.326394
76248,"El Cerrito","Valle del Cauca",0,2.114971
76250,"El Dovio","Valle del Cauca",1,1.348184
76275,"Florida","Valle del Cauca",0,0.253939
76306,"Ginebra","Valle del Cauca",0,2.114971
76318,"Guacarí","Valle del Cauca",0,2.114971
76364,"Jamundí","Valle del Cauca",0,2.114971
76377,NA,NA,0,1.348184
76400,"La Unión","Valle del Cauca",0,1.348184
76403,"La Victoria","Valle del Cauca",0,2.114971
76497,"Obando","Valle del Cauca",0,1.348184
76520,"Palmira","Valle del Cauca",0,-0.512848
76563,"Pradera","Valle del Cauca",0,2.114971
76606,"Restrepo","Valle del Cauca",0,1.348184
76616,"Riofrío","Valle del Cauca",0,1.348184
76622,"Roldanillo","Valle del Cauca",0,1.348184
76670,"San Pedro","Valle del Cauca",0,1.348184
76736,"Sevilla","Valle del Cauca",0,-0.326394
76823,"Toro","Valle del Cauca",0,2.114971
76828,"Trujillo","Valle del Cauca",0,1.348184
76834,"Tulúa","Valle del Cauca",0,1.348184
76845,"Ulloa","Valle del Cauca",0,-0.326394
76863,"Versalles","Valle del Cauca",0,-0.326394
76869,"Vijes","Valle del Cauca",0,1.348184
76890,"Yotoco","Valle del Cauca",0,2.114971
76892,"Yumbo","Valle del Cauca",0,-0.512848
76895,"Zarzal","Valle del Cauca",0,2.114971
81001,"Arauca","Arauca",0,-1.42064
81065,"Arauquita","Arauca",0,-1.42064
81220,"Cravo Norte","Arauca",0,-2.187426
81300,"Fortúl","Arauca",0,-1.42064
81591,"Puerto Rondón","Arauca",0,-1.42064
81736,"Saravena","Arauca",0,0.253939
81794,"Tame","Arauca",0,-1.42064
85001,"Yopal","Casanare",0,0.253939
85010,"Aguazul","Casanare",0,0.253939
85015,"Chámeza","Casanare",0,-0.512848
85125,"Hato Corozal","Casanare",0,-1.42064
85136,"La Salina","Casanare",0,-0.512848
85139,"Maní","Casanare",0,0.253939
85162,"Monterrey","Casanare",0,0.253939
85225,"Nunchía","Casanare",0,-1.42064
85230,"Orocué","Casanare",0,-1.42064
85250,"Paz de Ariporo","Casanare",0,-1.42064
85263,"Pore","Casanare",0,0.253939
85279,"Recetor","Casanare",0,-0.326394
85300,"Sabanalarga","Casanare",0,2.114971
85315,"Sácama","Casanare",0,-0.512848
85325,"San Luís de Palenque","Casanare",0,-1.42064
85400,"Támara","Casanare",0,-2.187426
85410,"Tauramena","Casanare",0,-1.42064
85430,"Trinidad","Casanare",0,-1.42064
85440,"Villanueva","Casanare",0,0.253939
86001,"Mocoa","Putumayo",1,-0.512848
86219,"Colón","Putumayo",0,-0.512848
86320,"Orito","Putumayo",0,-0.512848
86568,"Puerto Asís","Putumayo",0,-2.187426
86569,"Puerto Caicedo","Putumayo",0,-2.187426
86571,"Puerto Guzmán","Putumayo",0,-2.187426
86573,"Puerto Leguízamo","Putumayo",0,-2.187426
86749,"Sibundoy","Putumayo",0,0.253939
86755,"San Francisco","Putumayo",0,-2.187426
86757,"San Miguel","Putumayo",0,1.348184
86760,"Santiago","Putumayo",0,-0.512848
86865,"Valle del Guamuez","Putumayo",0,1.348184
86885,"Villagarzón","Putumayo",0,-2.187426
88001,NA,NA,0,0.253939
88564,"Providencia","San Andrés",0,1.348184
91001,"Leticia","Amazonas",0,-2.187426
91263,NA,NA,0,-2.187426
91405,NA,NA,0,-2.187426
91407,NA,NA,0,-2.187426
91430,NA,NA,0,-0.512848
91460,NA,NA,0,-2.187426
91530,NA,NA,0,-2.187426
91536,NA,NA,0,-2.187426
91540,"Puerto Nariño","Amazonas",0,-2.187426
91669,NA,NA,0,-2.187426
91798,NA,NA,0,-2.187426
94001,"Inírida","Guainía",0,-2.187426
94343,NA,NA,0,-2.187426
94663,NA,NA,0,-2.187426
94883,NA,NA,0,-2.187426
94884,NA,NA,0,-2.187426
94885,NA,NA,0,-2.187426
94886,NA,NA,0,-2.187426
94887,NA,NA,0,-2.187426
94888,NA,NA,0,-2.187426
95001,"San José del Guaviare","Guaviare",0,-2.187426
95015,"Calamar","Guaviare",0,-2.187426
95025,"El Retorno","Guaviare",0,-2.187426
95200,"Miraflores","Guaviare",0,-2.187426
97001,"Mitú","Vaupés",0,-2.187426
97161,"Carurú","Vaupés",0,-2.187426
97511,NA,NA,0,-2.187426
97666,"Taraira","Vaupés",0,-2.187426
97777,NA,NA,0,-2.187426
97889,NA,NA,0,-2.187426
99001,"Puerto Carreño","Vichada",0,-1.42064
99524,"La Primavera","Vichada",0,-1.42064
99624,"Santa Rosalía","Vichada",0,-1.42064
99773,"Cumaribo","Vichada",0,-1.42064
