"mupio","depto","accionesMilitares","IDH_1_1"
"AGUSTIN_CODAZZI","CESAR",86,0.583171
"ASTREA","CESAR",2,0.58271
"BECERRIL","CESAR",35,0.586346
"BOSCONIA","CESAR",5,0.582366
"CHIMICHAGUA","CESAR",0,0.579112
"CHIRIGUANA","CESAR",6,0.60354
"CURUMANI","CESAR",38,0.581412
"EL_COPEY","CESAR",22,0.57746
"EL_PASO","CESAR",1,0.65965
"GAMARRA","CESAR",0,0.597175
"GONZALEZ","CESAR",5,0.552176
"LA_GLORIA","CESAR",3,0.577427
"LA_JAGUA_DE_IBIRICO","CESAR",26,0.621821
"MANAURE_BALCON_DEL_CESAR","CESAR",26,0.530061
"PAILITAS","CESAR",5,0.568602
"PELAYA","CESAR",14,0.575851
"PUEBLO_BELLO","CESAR",34,0.525866
"RIO_DE_ORO","CESAR",6,0.57471
"LA_PAZ","CESAR",42,0.574937
"SAN_ALBERTO","CESAR",0,0.605926
"SAN_DIEGO","CESAR",48,0.59624
"SAN_MARTIN","CESAR",1,0.60934
"TAMALAMEQUE","CESAR",1,0.591306
"MONTERIA","CORDOBA",0,0.639509
"AYAPEL","CORDOBA",1,0.576135
"LA_APARTADA","CORDOBA",1,0.575548
"BUENAVISTA","CORDOBA",2,0.606004
"CANALETE","CORDOBA",0,0.567042
"CERETE","CORDOBA",0,0.615267
"CHIMA","CORDOBA",0,0.595507
"CHINU","CORDOBA",0,0.595629
"CIENAGA_DE_ORO","CORDOBA",0,0.571766
"COTORRA","CORDOBA",1,0.593098
"LORICA","CORDOBA",0,0.597885
"LOS_CORDOBAS","CORDOBA",0,0.584229
"MOMIL","CORDOBA",0,0.586592
"MONTELIBANO","CORDOBA",5,0.607014
"MONITOS","CORDOBA",34,0.568031
"PLANETA_RICA","CORDOBA",2,0.593159
"PUEBLO_NUEVO","CORDOBA",0,0.587497
"PUERTO_ESCONDIDO","CORDOBA",0,0.57664
"PUERTO_LIBERTADOR","CORDOBA",137,0.566093
"PURISIMA_DE_LA_CONCEPCION","CORDOBA",0,0.58338
"SAHAGUN","CORDOBA",1,0.592925
"SAN_ANDRES_DE_SOTAVENTO","CORDOBA",0,0.533164
"SAN_ANTERO","CORDOBA",0,0.599962
"SAN_BERNARDO_DEL_VIENTO","CORDOBA",0,0.582283
"SAN_CARLOS","CORDOBA",0,0.618989
"SAN_JOSE_DE_URE","CORDOBA",1,0.589786
"SAN_PELAYO","CORDOBA",0,0.594511
"TIERRALTA","CORDOBA",104,0.563363
"TUCHIN","CORDOBA",0,0.664855
"VALENCIA","CORDOBA",0,0.571
"AGUA_DE_DIOS","CUNDINAMARCA",0,0.645192
"ALBAN","CUNDINAMARCA",0,0.60849
"ANAPOIMA","CUNDINAMARCA",6,0.748118
"ANOLAIMA","CUNDINAMARCA",5,0.639949
"ARBELAEZ","CUNDINAMARCA",2,0.64724
"BELTRAN","CUNDINAMARCA",1,0.608914
"BITUIMA","CUNDINAMARCA",0,0.63078
"BOJACA","CUNDINAMARCA",1,0.653107
"CABRERA","CUNDINAMARCA",29,0.614198
"CACHIPAY","CUNDINAMARCA",0,0.631678
"CAJICA","CUNDINAMARCA",0,0.680864
"CAPARRAPI","CUNDINAMARCA",11,0.610221
"CAQUEZA","CUNDINAMARCA",1,0.631973
"CARMEN_DE_CARUPA","CUNDINAMARCA",3,0.600874
